name,COUNT,AREA,MIN (Band 1),MAX (Band 1),MEAN (Band 1),STDDEV (Band 1),MIN (Band 2),MAX (Band 2),MEAN (Band 2),STDDEV (Band 2),MIN (Band 3),MAX (Band 3),MEAN (Band 3),STDDEV (Band 3)
"BDWY",9638,1.317091491800000,4.000000000000000,245.0000000000000,113.8672961195269,58.08471311505893,12.00000000000000,254.0000000000000,127.9919070346545,58.99049347044624,1.000000000000000,191.0000000000000,84.10292591824025,41.48513575093165
"D130-7-1-1",19727,2.695814884700000,1.000000000000000,235.0000000000000,92.68880214933844,53.90145502410527,6.000000000000000,253.0000000000000,113.4678629359285,56.52144529582790,1.000000000000000,222.0000000000000,86.27451079793164,47.57633504672288
"D135-6-2",14949,2.042872038900000,3.000000000000000,253.0000000000000,126.6229848150378,56.56585148375286,9.000000000000000,255.0000000000000,138.3750083617633,57.33529172527716,6.000000000000000,226.0000000000000,120.2310522442973,50.08090053013524
"E6",14528,1.985339820800000,3.000000000000000,242.0000000000000,103.1656800660793,57.08964822757078,1.000000000000000,245.0000000000000,98.76534966960344,60.45438935083581,5.000000000000000,246.0000000000000,106.0205121145375,59.24321837892286
"F11",12189,1.665701202900000,2.000000000000000,241.0000000000000,100.7224546722454,43.34439183172277,11.00000000000000,250.0000000000000,125.8445319550414,42.99867422649067,1.000000000000000,253.0000000000000,84.78908494050066,48.74788911393431
"F3",8172,1.116753649200000,1.000000000000000,223.0000000000000,61.56289769946164,42.86256176319256,1.000000000000000,214.0000000000000,53.42400881057268,45.18027882925132,7.000000000000000,216.0000000000000,61.79735682819379,44.91401162175680
"GL",5296,0.7237307056000001,8.000000000000000,215.0000000000000,103.2832326283988,39.25728107359568,20.00000000000000,234.0000000000000,121.6714501510574,40.23633750902647,11.00000000000000,180.0000000000000,81.15011329305136,32.93280898203236
"GLSJNCT",11222,1.533554754200000,6.000000000000000,254.0000000000000,118.6482801639637,59.28453708502661,16.00000000000000,255.0000000000000,133.8870967741936,58.52855874611102,5.000000000000000,226.0000000000000,110.0671003386205,50.36248647530362
"GWAS-W01",47276,6.460553783600000,1.000000000000000,248.0000000000000,87.17651662577217,52.49933060312244,3.000000000000000,250.0000000000000,93.60561384211849,51.36248132632996,1.000000000000000,251.0000000000000,70.49532987398069,46.14763896123933
"GWAS-W02",25513,3.486507079300000,2.000000000000000,250.0000000000000,95.71916277975929,50.93567549980766,3.000000000000000,251.0000000000000,97.60627915180498,49.23597517003058,1.000000000000000,223.0000000000000,75.42797191826489,42.65562049639017
"GWAS-W12",21462,2.932913218200000,1.000000000000000,235.0000000000000,88.15576367533312,47.32050652641880,8.000000000000000,238.0000000000000,105.1086105675147,48.62187717930341,1.000000000000000,236.0000000000000,78.89234282518532,45.14808538263458
"GWAS-W22",29581,4.042424094100000,2.000000000000000,255.0000000000000,125.5865251343767,59.57204142865140,4.000000000000000,255.0000000000000,124.3442074304452,57.12780036054764,1.000000000000000,251.0000000000000,102.9076002434242,51.71599580968469
"GWAS-W27",28307,3.868324222700000,1.000000000000000,255.0000000000000,113.3232062740666,58.64719244052428,1.000000000000000,254.0000000000000,111.3344755714135,56.02255604058757,1.000000000000000,253.0000000000000,91.80733458287658,52.12865569819093
"GWAS-W30",12374,1.690982581400000,1.000000000000000,255.0000000000000,104.7068045902699,56.35343568634492,2.000000000000000,255.0000000000000,107.0973007919832,54.77051220779259,1.000000000000000,228.0000000000000,87.83129801860090,52.78317668073884
