name,COUNT,AREA,MIN (Band 1),MAX (Band 1),MEAN (Band 1),STDDEV (Band 1),MIN (Band 2),MAX (Band 2),MEAN (Band 2),STDDEV (Band 2),MIN (Band 3),MAX (Band 3),MEAN (Band 3),STDDEV (Band 3)
"BDWY",9788,1.337589906800000,4.000000000000000,245.0000000000000,114.4015120555783,58.05882028263032,12.00000000000000,254.0000000000000,128.7280343277483,58.94322239728769,1.000000000000000,189.0000000000000,84.99816101348591,41.61844567771875
"D130-7-1-1",18274,2.497253571400000,1.000000000000000,235.0000000000000,88.83063368720580,53.45384520388124,6.000000000000000,253.0000000000000,110.2117647058823,56.84616722498122,1.000000000000000,207.0000000000000,80.97181634104962,44.72648713888677
"D135-6-2",12335,1.685652993500000,3.000000000000000,253.0000000000000,122.3690312119984,59.92922841578785,9.000000000000000,255.0000000000000,134.2644507498987,60.72957023260388,6.000000000000000,226.0000000000000,111.1788406972031,48.50017717936237
"E6",8581,1.172645994100000,3.000000000000000,242.0000000000000,90.62789884628832,51.59546437599318,1.000000000000000,245.0000000000000,83.03076564502969,52.51248478244744,10.00000000000000,246.0000000000000,90.55459736627435,51.43198789586141
"F11",11276,1.540934183600000,2.000000000000000,250.0000000000000,94.77589570769777,40.05924956479227,11.00000000000000,254.0000000000000,121.2726144022702,41.64510174834401,1.000000000000000,253.0000000000000,75.98944286728180,40.15236236296975
"F3",9141,1.249173410100000,1.000000000000000,214.0000000000000,57.55551908981513,37.34152081253799,1.000000000000000,212.0000000000000,51.59205776173284,39.70773668529690,7.000000000000000,216.0000000000000,61.82430806257521,40.77143398489606
"GL",7217,0.9862470737000001,8.000000000000000,215.0000000000000,98.90175973396154,41.39053254720805,20.00000000000000,234.0000000000000,116.0507135929056,41.67629026879521,10.00000000000000,193.0000000000000,85.43591520022173,34.38454485662479
"GLSJNCT",9089,1.242067292900000,6.000000000000000,251.0000000000000,104.7567389151722,57.54375932651199,16.00000000000000,254.0000000000000,123.3291891297173,58.52301734542210,5.000000000000000,226.0000000000000,95.84640774562658,42.30150881494400
"GWAS-W01",41329,5.647859956900001,1.000000000000000,243.0000000000000,79.30862106511155,49.43016327001133,3.000000000000000,244.0000000000000,86.97531999322520,49.94244481302720,1.000000000000000,226.0000000000000,61.14953474847334,40.30470436329567
"GWAS-W02",25262,3.452206398200000,2.000000000000000,250.0000000000000,94.25762014092317,50.84347860891170,3.000000000000000,251.0000000000000,95.82368775235543,49.36617653638955,1.000000000000000,214.0000000000000,71.93282104095698,40.59153715091768
"GWAS-W12",21112,2.885083583200000,1.000000000000000,229.0000000000000,85.69221295945439,45.83412167031781,8.000000000000000,238.0000000000000,102.8741000378931,47.61381849934446,1.000000000000000,223.0000000000000,75.75434689913303,41.99879026601794
"GWAS-W22",29861,4.080687802100000,2.000000000000000,255.0000000000000,123.3460366364154,59.45479953987504,4.000000000000000,255.0000000000000,121.4521281939654,56.70101454835030,1.000000000000000,234.0000000000000,98.47524951436807,49.32347763766875
"GWAS-W27",26714,3.650631055400000,1.000000000000000,255.0000000000000,108.6332260238078,58.65406693122939,1.000000000000000,254.0000000000000,105.8066931197125,55.63837175688377,1.000000000000000,249.0000000000000,82.25667066406825,47.19679065790564
"GWAS-W30",11631,1.589447099100000,1.000000000000000,255.0000000000000,99.28467027770613,56.23562581733320,2.000000000000000,255.0000000000000,100.7091393689278,54.00281274997103,1.000000000000000,222.0000000000000,77.04198933057994,46.39454669943507
"GWAS-W35",9552,1.305339067200000,3.000000000000000,237.0000000000000,96.44880653266330,48.14827959778867,4.000000000000000,221.0000000000000,91.67598408710218,46.32950022858192,2.000000000000000,218.0000000000000,82.38484087102179,43.31793201075534
"GWAS-W42",17174,2.346931861400000,1.000000000000000,231.0000000000000,83.56777687201578,41.88026081244405,3.000000000000000,228.0000000000000,97.15969028351859,43.05844302990192,1.000000000000000,195.0000000000000,73.69692200069949,38.88197126522982
"GWAS-W43",9392,1.283474091200000,1.000000000000000,224.0000000000000,89.29429301533217,42.96737546673739,6.000000000000000,241.0000000000000,101.5074531516184,43.27436654092838,1.000000000000000,219.0000000000000,81.32736954206604,41.27099325211541
"GWAS-W44",938,0.1281834218000000,27.00000000000000,253.0000000000000,155.3059701492537,48.39795442027906,17.00000000000000,235.0000000000000,136.0980810234541,48.35914838138411,16.00000000000000,224.0000000000000,119.1385927505330,43.61013833227450
"GWAS-W7",26057,3.560847997700000,4.000000000000000,254.0000000000000,107.0474344705838,49.13274166753354,3.000000000000000,253.0000000000000,98.09283493878812,45.96237683298551,1.000000000000000,222.0000000000000,79.36598096407739,41.90559246601933
"H20K0130",14966,2.045195192600000,1.000000000000000,208.0000000000000,84.36556194039822,44.21442981936471,10.00000000000000,229.0000000000000,103.1936259771497,46.09221888180799,1.000000000000000,194.0000000000000,75.64648894233984,39.16112763629882
"H20K1173",7991,1.092018895100000,7.000000000000000,210.0000000000000,92.10211487923917,44.74923409089780,18.00000000000000,235.0000000000000,109.7952696783882,46.06297732451984,2.000000000000000,207.0000000000000,79.32749343010885,38.85312020802254
"H20K1176",10867,1.485041838700000,4.000000000000000,246.0000000000000,105.1407932272016,58.32234172668250,14.00000000000000,254.0000000000000,123.2572927210821,61.22620462405198,3.000000000000000,226.0000000000000,94.83831784301098,47.40559017840521
"H20K1180",19989,2.731618782900000,1.000000000000000,234.0000000000000,75.37270498774328,48.07902269021045,1.000000000000000,227.0000000000000,66.18856027623478,45.88723515051588,1.000000000000000,228.0000000000000,68.87512507504508,45.41113879988015
"H20K2807",8794,1.201753743400000,1.000000000000000,243.0000000000000,110.1804639526950,58.28900943501413,8.000000000000000,250.0000000000000,126.4143734364340,59.89562932537093,1.000000000000000,197.0000000000000,91.06481692062772,45.59261535647241
"H20K2905",8997,1.229494931700000,1.000000000000000,244.0000000000000,84.69412026230962,45.61548629494834,1.000000000000000,239.0000000000000,74.77261613691934,45.87914009063199,1.000000000000000,233.0000000000000,75.15592353856415,44.63290331813168
"Impulsion",4543,0.6208286623000000,4.000000000000000,235.0000000000000,118.1093990755008,54.66849099504136,11.00000000000000,249.0000000000000,128.5518379925160,55.22969039825171,2.000000000000000,194.0000000000000,81.72941435490976,42.98145037138445
